left,center,right
-1,7,-1
-1,7,-1
-1,7,-1
11,9,6
4,10,8
-1,7,-1
-1,7,-1
8,0,5
-1,7,-1
4,10,11
-1,7,-1
10,6,11
-1,7,-1
-1,7,-1
12,5,10
-1,7,-1
8,11,6
-1,7,-1
-1,7,-1
12,9,0
-1,7,-1
-1,9,6
0,10,8
-1,7,-1
-1,7,-1
9,5,10
-1,7,-1
10,8,11
-1,7,-1
8,12,4
-1,7,-1
10,8,11
-1,7,-1
10,9,10
9,0,11
8,4,9
-1,7,-1
9,11,-1
5,8,12
-1,7,-1
-1,7,-1
11,-1,8
-1,7,-1
9,10,12
-1,7,-1
10,4,11
-1,7,-1
9,8,-1
6,12,0
-1,7,-1
-1,7,-1
11,10,9
9,8,11
-1,7,-1
-1,7,-1
-1,7,-1
10,11,0
-1,7,-1
8,6,11
-1,7,-1
10,9,12
-1,7,-1
5,12,10
-1,7,-1
-1,7,-1
