left,center,right
9,10,11
8,0,6
-1,7,-1
-1,7,-1
9,5,8
0,9,11
-1,7,-1
11,8,4
9,0,10
-1,7,-1
9,10,0
8,6,5
-1,7,-1
-1,7,-1
10,12,11
9,9,0
-1,7,-1
9,8,10
-1,7,-1
0,3,11
-1,7,-1
6,0,9
-1,7,-1
11,6,8
10,9,0
9,0,10
8,4,3
-1,7,-1
-1,7,-1
-1,7,-1
-1,7,-1
8,10,11
0,11,9
-1,7,-1
8,11,9
9,10,0
-1,7,-1
-1,7,-1
11,0,10
0,8,12
-1,7,-1
9,12,10
-1,7,-1
8,11,5
-1,7,-1
12,9,11
-1,7,-1
11,10,9
-1,7,-1
-1,7,-1
9,5,11
0,10,10
8,11,11
-1,7,-1
-1,7,-1
9,5,11
11,10,8
-1,7,-1
12,0,10
-1,7,-1
9,11,4
-1,7,-1
0,8,10
-1,7,-1
-1,7,-1
