left,center,right
-1,7,-1
8,9,6
-1,7,-1
9,11,10
10,0,3
8,9,11
-1,7,-1
-1,7,-1
9,11,10
-1,7,-1
11,10,9
8,9,5
-1,7,-1
-1,7,-1
-1,7,-1
10,11,5
-1,7,-1
4,8,10
8,11,9
0,9,6
-1,7,-1
-1,7,-1
-1,7,-1
11,9,8
10,1,0
-1,7,-1
9,11,3
8,0,10
-1,7,-1
10,4,11
-1,7,-1
11,10,9
0,5,8
-1,7,-1
8,11,6
9,10,11
-1,7,-1
-1,7,-1
11,1,10
9,8,3
-1,7,-1
9,11,10
-1,7,-1
5,11,8
10,10,11
10,9,11
-1,7,-1
8,10,8
11,9,11
-1,7,-1
5,8,9
9,10,2
8,11,0
-1,7,-1
11,5,10
-1,7,-1
10,10,9
-1,7,-1
4,0,11
-1,7,-1
10,11,6
-1,7,-1
11,5,10
-1,7,-1
9,8,3
